NCBI_virus_name|Virus.GENBANK.accession|NCBI_host
Yaba-7_virus_strain_Yaba_7_segment_L,_complete_sequence_|NC_077898.1|Mansonia_africana
Yaba-7_virus_strain_Yaba_7_segment_M,_complete_sequence_|NC_077899.1|Mansonia_africana
Yaba-7_virus_strain_Yaba_7_segment_S,_complete_sequence_|NC_077900.1|Mansonia_africana
Matruh_virus_strain_An_1047-61_polyprotein_(QK546_sMgp1)_gene,_complete_cds_|NC_077913.1|Curruca_curruca
Matruh_virus_strain_An_1047-61_nucleocapsid_protein_(QK546_sSgp1)_gene,_complete_cds_|NC_077914.1|Curruca_curruca
Matruh_virus_strain_An_1047-61_RNA-dependent_RNA_polymerase_(QK546_sLgp1)_gene,_complete_cds_|NC_077915.1|Curruca_curruca
Mahogany_hammock_virus_strain_FE4-2s_segment_L_RNA-dependent_RNA_polymerase_(QK547_sLgp1)_gene,_complete_cds_|NC_077916.1|Culex
Mahogany_hammock_virus_strain_FE4-2s_segment_S_nucleocapsid_protein_(QK547_sSgp1)_gene,_complete_cds_|NC_077917.1|Culex
Mahogany_hammock_virus_strain_FE4-2s_segment_M_polyprotein_(QK547_sMgp1)_gene,_complete_cds_|NC_077918.1|Culex
Ananindeua_virus_isolate_BeAn20525_segment_S,_complete_sequence_|NC_077925.1|Mus
Ananindeua_virus_isolate_BeAn20525_segment_M,_complete_sequence_|NC_077926.1|Mus
Ananindeua_virus_isolate_BeAn20525_segment_L,_complete_sequence_|NC_077927.1|Mus
Mirim_virus_strain_BEAN7722_RNA-dependent_RNA_polymerase_(QK551_s1gp1)_gene,_complete_cds_|NC_077928.1|Sapajus_apella
Mirim_virus_strain_BEAN7722_polyprotein_(QK551_s2gp1)_gene,_complete_cds_|NC_077929.1|Sapajus_apella
Mirim_virus_strain_BEAN7722_structural_nucleocapsid_protein_N_(QK551_s3gp1)_gene,_complete_cds_|NC_077930.1|Sapajus_apella
Infirmatus_virus_segment_L_polyprotein_(QK553_sLgp1)_gene,_complete_cds_|NC_077934.1|Ochlerotatus_infirmatus
Infirmatus_virus_segment_S_nucleocapsid_protein_(QK553_sSgp1)_gene,_complete_cds_|NC_077935.1|Ochlerotatus_infirmatus
Infirmatus_virus_segment_M_polyprotein_(QK553_sMgp1)_gene,_complete_cds_|NC_077936.1|Ochlerotatus_infirmatus
Abras_virus_isolate_75V1183_segment_M_glycoprotein_precursor_(QK555_sMgp1)_gene,_complete_cds_|NC_077940.1|Culex_paracrybda
Abras_virus_isolate_75V1183_segment_L_RNA-dependent_RNA_polymerase_(QK555_sLgp1)_gene,_complete_cds_|NC_077941.1|Culex_paracrybda
Abras_virus_isolate_75V1183_segment_S_NSs_(QK555_sSgp1)_and_nucleocapsid_(QK555_sSgp2)_genes,_complete_cds_|NC_077942.1|Culex_paracrybda
Shark_River_virus_isolate_64U80_segment_L_RNA-dependent_RNA_polymerase_(QK557_sLgp1)_gene,_complete_cds_|NC_077946.1|Cricetinae
Shark_River_virus_isolate_64U80_segment_M_glycoprotein_precursor_(QK557_sMgp1)_gene,_complete_cds_|NC_077947.1|Cricetinae
Shark_River_virus_isolate_64U80_segment_S_NSs_(QK557_sSgp1)_and_nucleocapsid_(QK557_sSgp2)_genes,_complete_cds_|NC_077948.1|Cricetinae
Shokwe_virus_strain_SAAr_4042_segment_M,_complete_sequence_|NC_077970.1|Aedes_cumminsii
Shokwe_virus_strain_SAAr_4042_segment_S,_complete_sequence_|NC_077971.1|Aedes_cumminsii
Shokwe_virus_strain_SAAr_4042_segment_L,_complete_sequence_|NC_077972.1|Aedes_cumminsii
Apeu_virus_isolate_BeAn848_segment_M,_complete_sequence_|NC_077973.1|Sapajus_apella
Apeu_virus_isolate_BeAn848_segment_L,_complete_sequence_|NC_077974.1|Sapajus_apella
Apeu_virus_isolate_BeAn848_segment_S,_complete_sequence_|NC_077975.1|Sapajus_apella
Nepuyo_virus_isolate_BeAn10709_segment_L,_complete_sequence_|NC_077979.1|Mus
Nepuyo_virus_isolate_BeAn10709_segment_S,_complete_sequence_|NC_077980.1|Mus
Nepuyo_virus_isolate_BeAn10709_segment_M,_complete_sequence_|NC_077981.1|Mus
Bruconha_virus_isolate_77V74814_nonstructural_protein_NSs_and_nucleoprotein_genes,_complete_cds_|NC_077982.1|Mus
Bruconha_virus_isolate_77V74814_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_077983.1|Mus
Bruconha_virus_isolate_77V74814_polyprotein_gene,_complete_cds_|NC_077984.1|Mus
Anopheles_A_virus_isolate_original_segment_S,_complete_sequence_|NC_077985.1|Anopheles_boliviensis
Anopheles_A_virus_isolate_original_segment_L,_complete_sequence_|NC_077986.1|Anopheles_boliviensis
Anopheles_A_virus_isolate_original_segment_M,_complete_sequence_|NC_077987.1|Anopheles_boliviensis
Northway_virus_strain_0234_segment_L,_complete_sequence_|NC_078003.1|Aedes_sp.
Northway_virus_strain_0234_segment_S,_complete_sequence_|NC_078004.1|Aedes
Northway_virus_strain_0234_segment_M,_complete_sequence_|NC_078005.1|Aedes
Gossas_virus_isolate_DakAnD_401_segment_S,_complete_sequence_|NC_078143.1|Tadarida
Gossas_virus_isolate_DakAnD_401_segment_M,_complete_sequence_|NC_078144.1|Tadarida
Gossas_virus_isolate_DakAnD_401_segment_L,_complete_sequence_|NC_078145.1|Tadarida
Tamdy_orthonairovirus_isolate_TT1_RNA-dependent_RNA_polymerase_(QK671_sLgp1)_gene,_complete_cds_|NC_078320.1|Hyalomma_aegyptium
Tamdy_orthonairovirus_isolate_TT1_glycoprotein_precursor_(QK671_sMgp1)_gene,_complete_cds_|NC_078321.1|Hyalomma_aegyptium
Tamdy_orthonairovirus_isolate_TT1_nucleocapsid_protein_(QK671_sSgp1)_gene,_complete_cds_|NC_078322.1|Hyalomma_aegyptium
Cotonvirus_japonicus_DNA,_complete_genome_|NC_079139.1|
Porcine_adenovirus_3_strain_6618,_complete_genome_|NC_044935.1|Sus_scrofa
Pacific_coast_tick_nairovirus_isolate_Docc2011cons_segment_L,_complete_sequence_|NC_055922.1|Dermacentor_occidentalis
UNVERIFIED:_Clo_Mor_virus_isolate_52301-14_segment_S,_complete_sequence_|NC_055940.1|Argas_cooleyi
Lactarius_tabidus_RNA_virus_1_strain_K35_RNA_dependent_RNA_polymerase_(QK706_gp1)_gene,_complete_cds_|NC_055942.1|Lactarius_tabidus
Pepper_yellows_virus_genome_assembly,_complete_genome:_monopartite_|NC_077216.1|Capsicum_annuum
Puumala_virus_CG1820_virus_M_genome_segment,_complete_cds_|NC_077666.1|
Puumala_virus_CG1820_RNA-dependent_RNA_polymerase_gene_in_L_RNA_segment_|NC_077667.1|
Puumala_virus_CG1820_segment_S_nucleocapsid_protein_mRNA,_5'_end_|NC_077668.1|
Sin_Nombre_virus_(NM_R11)_RNA_S_segment_encoding_nucleocapsid_protein_(N_protein),_complete_cds_|NC_077669.1|Peromyscus_maniculatus
Sin_Nombre_virus_(NM_R11)_RNA_M_segment_encoding_surface_glycoproteins_(G1_and_G2_proteins),_complete_cds_|NC_077670.1|Peromyscus_maniculatus
Sin_Nombre_virus_(NM_R11)_RNA_L_segment_encoding_RNA_polymerase_(L_protein),_complete_cds_|NC_077671.1|Peromyscus_maniculatus
Gentian_mosaic_virus_RNA2_gene_for_polyprotein,_complete_cds_|NC_077674.1|
Gentian_mosaic_virus_RNA1_gene_for_polyprotein,_complete_cds_|NC_077675.1|
Tomato_mottle_leaf_curl_virus_isolate_BR:Jai13:08_segment_DNA-A,_complete_sequence_|NC_077680.1|Solanum_lycopersicum
Cannabis_cryptic_virus_isolate_Fedora17_putative_coat_protein_gene,_complete_cds_|NC_077695.1|Cannabis_sativa
Cannabis_cryptic_virus_isolate_Fedora17_putative_RNA_polymerase_gene,_complete_cds_|NC_077696.1|Cannabis_sativa
Sida_micrantha_mosaic_virus_segment_A,_complete_genome,_isolate_A1B3_|NC_077711.1|
Sida_micrantha_mosaic_virus_segment_B,_complete_genome,_isolate_A1B3_|NC_077712.1|
Cotton_yellow_mosaic_virus_isolate_BN-Gos-San2-14_segment_DNA-A,_complete_sequence_|NC_077719.1|Gossypium_raimondii
Cotton_yellow_mosaic_virus_isolate_BN-Gos-San2-14_segment_DNA-B,_complete_sequence_|NC_077720.1|Gossypium_raimondii
Maize_rough_dwarf_virus_nonstructural_protein_P7-1_(QK487_s7gp1)_and_nonstructural_protein_P7-2_(QK487_s7gp2)_genes,_complete_cds_|NC_077721.1|Zea_mays
Maize_rough_dwarf_virus_nonstructural_protein_P9-1_(QK487_s9gp1)_and_nonstructural_protein_P9-2_(QK487_s9gp2)_genes,_complete_cds_|NC_077722.1|Zea_mays
Maize_rough_dwarf_virus_minor_core_structural_protein_P8_(QK487_s8gp1)_gene,_complete_cds_|NC_077723.1|Zea_mays
Maize_rough_dwarf_virus_major_outer_structural_protein_P10_(QK487_s10gp1)_gene,_complete_cds_|NC_077724.1|Zea_mays
Maize_rough_dwarf_virus_minor_structural_protein_P5-1_(QK487_s5gp1)_and_minor_structural_protein_P5-2_(QK487_s5gp2)_genes,_complete_cds_|NC_077725.1|Zea_mays
Maize_rough_dwarf_virus_putative_RNA_dependent_RNA_polymerase_(QK487_s1gp1)_gene,_complete_cds_|NC_077726.1|Zea_mays
Maize_rough_dwarf_virus_structural_protein_P3_(QK487_s3gp1)_gene,_complete_cds_|NC_077727.1|Zea_mays
Maize_rough_dwarf_virus_structural_protein_P4_(QK487_s4gp1)_gene,_complete_cds_|NC_077728.1|Zea_mays
Maize_rough_dwarf_virus_structural_protein_P2_(QK487_s2gp1)_gene,_complete_cds_|NC_077729.1|Zea_mays
Maize_rough_dwarf_virus_nonstructural_protein_P6_(QK487_s6gp1)_gene,_complete_cds_|NC_077730.1|Zea_mays
Avian_orthoreovirus_genomic_RNA,_segment_M3,_complete_sequence,_strain:_Pycno-1_|NC_077751.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_S2,_complete_sequence,_strain:_Pycno-1_|NC_077752.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_L1,_complete_sequence,_strain:_Pycno-1_|NC_077753.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_L2,_complete_sequence,_strain:_Pycno-1_|NC_077754.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_S4,_complete_sequence,_strain:_Pycno-1_|NC_077755.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_L3,_complete_sequence,_strain:_Pycno-1_|NC_077756.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_M1,_complete_sequence,_strain:_Pycno-1_|NC_077757.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_M2,_complete_sequence,_strain:_Pycno-1_|NC_077758.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_S1,_complete_sequence,_strain:_Pycno-1_|NC_077759.1|Hypsipetes_amaurotis
Avian_orthoreovirus_genomic_RNA,_segment_S3,_complete_sequence,_strain:_Pycno-1_|NC_077760.1|Hypsipetes_amaurotis
Wenzhou_Crab_Virus_2_strain_ZCX13_segment_2,_complete_sequence_|NC_077761.1|Charybdis_japonica
Wenzhou_Crab_Virus_2_strain_ZCX13_segment_1,_complete_sequence_|NC_077762.1|Charybdis_japonica
Lishi_Spider_Virus_1_strain_LSZZ11_segment_1,_complete_sequence_|NC_077763.1|Parasteatoda_tepidariorum
Lishi_Spider_Virus_1_strain_LSZZ11_segment_2,_complete_sequence_|NC_077764.1|Parasteatoda_tepidariorum
Infectious_bursal_disease_virus_RNA_for_small_ORF_(P2)_|NC_077769.1|
Infectious_bursal_disease_virus_RNA_for_possible_polymerase_(P2)_|NC_077770.1|
Peach_leaf_pitting-associated_virus_isolate_XJ-6_segment_RNA2,_complete_sequence_|NC_077800.1|Prunus_persica
Peach_leaf_pitting-associated_virus_isolate_XJ-6_segment_RNA1,_complete_sequence_|NC_077801.1|Prunus_persica
West_African_Asystasia_virus_1_isolate_Benin-asystasia-58-14_segment_DNA-B,_complete_sequence_|NC_077802.1|Asystasia
West_African_Asystasia_virus_1_isolate_Benin-asystasia-58-14_segment_DNA-A,_complete_sequence_|NC_077803.1|Asystasia
Lymphocytic_choriomeningitis_virus_Armstrong_53b_segment_RNA_L,_complete_sequence_|NC_077806.1|
Lymphocytic_choriomeningitis_virus_Armstrong_53b_segment_RNA_S,_complete_sequence_|NC_077807.1|
La_Crosse_virus_strain_LACV/human/1960_segment_small,_complete_sequence_|NC_077808.1|
La_Crosse_virus_strain_LACV/human/1960_segment_medium,_complete_sequence_|NC_077809.1|
La_Crosse_virus_strain_LACV/human/1960_segment_large,_complete_sequence_|NC_077810.1|
Botryosphaeria_dothidea_chrysovirus_1_isolate_LW-1_segment_RNA_1_putative_RNA-dependent_RNA_polymerase_(RdRp)_gene,_complete_cds_|NC_077817.1|Botryosphaeria_dothidea
Botryosphaeria_dothidea_chrysovirus_1_isolate_LW-1_segment_RNA_4_hypothetical_protein_gene,_complete_cds_|NC_077818.1|Botryosphaeria_dothidea
Botryosphaeria_dothidea_chrysovirus_1_isolate_LW-1_segment_RNA_3_hypothetical_protein_gene,_complete_cds_|NC_077819.1|Botryosphaeria_dothidea
Botryosphaeria_dothidea_chrysovirus_1_isolate_LW-1_segment_RNA_2_putative_coat_protein_(CP)_gene,_complete_cds_|NC_077820.1|Botryosphaeria_dothidea
Calla_lily_chlorotic_spot_virus_segment_L,_complete_sequence_|NC_077825.1|Lilium
Calla_lily_chlorotic_spot_virus_nonstructural_protein_and_nucleocapsid_protein_genes,_complete_cds_|NC_077826.1|
Calla_lily_chlorotic_spot_virus_segment_M,_complete_sequence_|NC_077827.1|Lilium
Thimiri_orthobunyavirus_strain_VRC_66414_segment_S,_complete_sequence_|NC_077828.1|Ardeola_grayii
Thimiri_orthobunyavirus_strain_VRC_66414_segment_M,_complete_sequence_|NC_077829.1|Ardeola_grayii
Thimiri_orthobunyavirus_strain_VRC_66414_segment_L,_complete_sequence_|NC_077830.1|Ardeola_grayii
Main_Drain_virus_strain_72V2567_segment_L,_complete_sequence_|NC_077831.1|Aedes_vexans
Main_Drain_virus_strain_72V2567_segment_S,_complete_sequence_|NC_077832.1|Aedes_vexans
Main_Drain_virus_strain_72V2567_segment_M,_complete_sequence_|NC_077833.1|Aedes_vexans
Manzanilla_virus_isolate_TRVL_3586_membrane_glycoprotein_polyprotein_gene,_complete_cds_|NC_077834.1|Alouatta_seniculus
Manzanilla_virus_isolate_TRVL_3586_nucleocapsid_protein_gene,_complete_cds_|NC_077835.1|Alouatta_seniculus
Manzanilla_virus_isolate_TRVL_3586_RNA_polymerase_gene,_complete_cds_|NC_077836.1|Alouatta_seniculus
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_S3,_complete_sequence_|NC_077837.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_S4,_complete_sequence_|NC_077838.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_L1,_complete_sequence_|NC_077839.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_L2,_complete_sequence_|NC_077840.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_M1,_complete_sequence_|NC_077841.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_L3,_complete_sequence_|NC_077842.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_M2,_complete_sequence_|NC_077843.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_S1,_complete_sequence_|NC_077844.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_M3,_complete_sequence_|NC_077845.1|Homo_sapiens
Mammalian_orthoreovirus_3_Dearing_strain_T3D_segment_S2,_complete_sequence_|NC_077846.1|Homo_sapiens
Chilibre_virus_isolate_VP-118D_segment_S,_complete_sequence_|NC_077869.1|Lutzomyia
Chilibre_virus_isolate_VP-118D_segment_L,_complete_sequence_|NC_077870.1|Lutzomyia
Chilibre_virus_isolate_VP-118D_segment_M,_complete_sequence_|NC_077871.1|Lutzomyia
Tai_Forest_reovirus_putative_microtubule-associated_protein_VP10_(QK577_s10gp1)_gene,_partial_cds_|NC_078006.1|Molossidae
Tai_Forest_reovirus_uncharacterised_protein_VP11_(QK577_s11gp1)_gene,_complete_cds_|NC_078007.1|Molossidae
Tai_Forest_reovirus_isolate_B30_putative_membrane-spanning_protein_(QK577_s3gp1)_gene,_partial_cds_|NC_078008.1|Chaerephon_aloysiisabaudiae
Tai_Forest_reovirus_uncharacterised_protein_VP5_(QK577_s5gp1)_gene,_complete_cds_|NC_078009.1|Molossidae
Tai_Forest_reovirus_truncated_uncharacterised_protein_VP4_(QK577_s42gp1)_gene,_partial_cds_|NC_078010.1|Molossidae
Tai_Forest_reovirus_uncharacterised_protein_VP4_(QK577_s41gp1)_gene,_partial_cds_|NC_078011.1|Molossidae
Tai_Forest_reovirus_isolate_B30_putative_RNA-methyltransferase_(QK577_s2gp1)_gene,_complete_cds_|NC_078012.1|Chaerephon_aloysiisabaudiae
UNVERIFIED:_Tai_Forest_reovirus_isolate_B30_non-structural_protein-like_gene,_complete_sequence;_and_structural_protein_(QK577_s9gp1)_gene,_complete_cds_|NC_078013.1|Chaerephon_aloysiisabaudiae
Tai_Forest_reovirus_isolate_B30_RNA-directed_RNA_polymerase_(QK577_s1gp1)_gene,_complete_cds_|NC_078014.1|Chaerephon_aloysiisabaudiae
Tai_Forest_reovirus_uncharacterised_protein_VP8_(QK577_s8gp1)_gene,_partial_cds_|NC_078015.1|Molossidae
Pistacia_emaravirus_isolate_55_segment_RNA5a_p5_variant_A_(QK578_sRNA5agp1)_gene,_complete_cds_|NC_078016.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA6_p6_protein_(QK578_sRNA6gp1)_gene,_complete_cds_|NC_078017.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA7_p7_protein_(QK578_sRNA7gp1)_gene,_complete_cds_|NC_078018.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA1_RNA_replicase_p1_(QK578_sRNA1gp1)_gene,_complete_cds_|NC_078019.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA2_glycoprotein_precursor_p2_(QK578_sRNA2gp1)_gene,_complete_cds_|NC_078020.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA5b_p5_variant_B_(QK578_sRNA5bgp1)_gene,_complete_cds_|NC_078021.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA3_nucleocapsid_protein_p3_(QK578_sRNA3gp1)_gene,_complete_cds_|NC_078022.1|Pistacia_vera
Pistacia_emaravirus_isolate_55_segment_RNA4_putative_MP_p4_(QK578_sRNA4gp1)_gene,_complete_cds_|NC_078023.1|Pistacia_vera
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_5,_complete_sequence_|NC_078024.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_8,_complete_sequence_|NC_078025.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_4,_complete_sequence_|NC_078026.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_6,_complete_sequence_|NC_078027.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_1,_complete_sequence_|NC_078028.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_2,_complete_sequence_|NC_078029.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_7,_complete_sequence_|NC_078030.1|Colletotrichum_camelliae
Colletotrichum_camelliae_filamentous_virus_1_segment_RNA_3,_complete_sequence_|NC_078031.1|Colletotrichum_camelliae
Blackberry_leaf_mottle_associated_virus_isolate_Arkansas_movement_protein_(P4)_gene,_complete_cds_|NC_078032.1|Rubus
Blackberry_leaf_mottle_associated_virus_isolate_Arkansas_RNA-dependent_RNA_polymerase_(P1)_gene,_complete_cds_|NC_078033.1|Rubus
Blackberry_leaf_mottle_associated_virus_isolate_Arkansas_hypothetical_protein_(P5)_gene,_complete_cds_|NC_078034.1|Rubus
Blackberry_leaf_mottle_associated_virus_isolate_Arkansas_nucleocapsid_protein_(P3)_gene,_complete_cds_|NC_078035.1|Rubus
Blackberry_leaf_mottle_associated_virus_isolate_Arkansas_glycoprotein_precursor_(P2)_gene,_complete_cds_|NC_078036.1|Rubus
Aspergillus_spelaeus_tetramycovirus_1_isolate_MUT1993_segment_RNA3_methyltransferase_(QK581_sRNA3gp1)_gene,_complete_cds_|NC_078037.1|Aspergillus_spelaeus
Aspergillus_spelaeus_tetramycovirus_1_isolate_MUT1993_segment_RNA4_hypothetical_protein_(QK581_sRNA4gp1)_gene,_complete_cds_|NC_078038.1|Aspergillus_spelaeus
Aspergillus_spelaeus_tetramycovirus_1_isolate_MUT1993_segment_RNA1_RNA-dependent_RNA_polymerase_(QK581_sRNA1gp1)_gene,_complete_cds_|NC_078039.1|Aspergillus_spelaeus
Aspergillus_spelaeus_tetramycovirus_1_isolate_MUT1993_segment_RNA2_PAS-rich_protein_(QK581_sRNA2gp1)_gene,_complete_cds_|NC_078040.1|Aspergillus_spelaeus
Arumowot_virus_isolate_Ar_1286-64_segment_M,_complete_sequence_|NC_078041.1|Culex_antennatus
Arumowot_virus_isolate_Ar_1286-64_segment_L,_complete_sequence_|NC_078042.1|Culex_antennatus
Arumowot_virus_isolate_Ar_1286-64_segment_S,_complete_sequence_|NC_078043.1|Culex_antennatus
Salobo_virus_segment_M_glycoprotein_gene,_complete_cds_|NC_078044.1|
Salobo_virus_segment_L_polymerase_gene,_complete_cds_|NC_078045.1|
Salobo_virus_segment_S_nonstructural_and_nucleocapsid_genes,_complete_cds_|NC_078046.1|
EgAN_1825-61_virus_segment_S,_complete_sequence_|NC_078047.1|
EgAN_1825-61_virus_segment_L,_complete_sequence_|NC_078048.1|
EgAN_1825-61_virus_segment_M,_complete_sequence_|NC_078049.1|
Phlebovirus_CoAr_171616_segment_M,_complete_sequence_|NC_078050.1|
Phlebovirus_CoAr_171616_segment_L,_complete_sequence_|NC_078051.1|
Phlebovirus_CoAr_171616_segment_S,_complete_sequence_|NC_078052.1|
Phlebovirus_GGP-2011a_segment_L,_complete_sequence_|NC_078053.1|Cricetinae
Phlebovirus_GGP-2011a_segment_M,_complete_sequence_|NC_078054.1|Cricetinae
Phlebovirus_GGP-2011a_segment_S,_complete_sequence_|NC_078055.1|Cricetinae
Uriurana_virus_segment_M,_complete_sequence_|NC_078056.1|
Uriurana_virus_segment_L,_complete_sequence_|NC_078057.1|
Uriurana_virus_segment_S,_complete_sequence_|NC_078058.1|
Saint_Floris_virus_strain_Dak_ANB_512_nucleoprotein_and_non-structural_protein_genes,_complete_cds_|NC_078059.1|Tatera
Saint_Floris_virus_strain_Dak_ANB_512_polyprotein_gene,_complete_cds_|NC_078060.1|Tatera
Saint_Floris_virus_strain_Dak_ANB_512_polymerase_gene,_complete_cds_|NC_078061.1|Tatera
Heartland_virus_strain_TN_segment_S_nonstructural_protein_(NSs)_and_nucleocapsid_protein_(N)_genes,_complete_cds_|NC_078062.1|Homo_sapiens
Heartland_virus_strain_TN_segment_M_polyprotein_gene,_complete_cds_|NC_078063.1|Homo_sapiens
Heartland_virus_strain_TN_segment_L_polymerase_gene,_complete_cds_|NC_078064.1|Homo_sapiens
Hunter_Island_virus_segment_M,_complete_sequence_|NC_078065.1|Acari
Hunter_Island_virus_segment_S,_complete_sequence_|NC_078066.1|Acari
Hunter_Island_virus_segment_L,_complete_sequence_|NC_078067.1|Acari
Kismayo_virus_isolate_LEIV3641A_segment_S,_complete_sequence_|NC_078068.1|Rhipicephalus_pulchellus
Kismayo_virus_isolate_LEIV3641A_segment_M,_complete_sequence_|NC_078069.1|Rhipicephalus_pulchellus
Kismayo_virus_isolate_LEIV3641A_segment_L,_complete_sequence_|NC_078070.1|Rhipicephalus_pulchellus
Cocle_virus_strain_GML244915_M_protein_gene,_complete_cds_|NC_078071.1|Homo_sapiens
Cocle_virus_strain_GML244915_L_protein_gene,_complete_cds_|NC_078072.1|Homo_sapiens
Cocle_virus_strain_GML244915_N_protein_and_NS_protein_genes,_complete_cds_|NC_078073.1|Homo_sapiens
Campana_virus_strain_VP-334K_L_protein_gene,_complete_cds_|NC_078074.1|Diptera
Campana_virus_strain_VP-334K_M_protein_gene,_complete_cds_|NC_078075.1|Diptera
Campana_virus_strain_VP-334K_N_protein_and_NS_protein_genes,_complete_cds_|NC_078076.1|Diptera
Sandfly_fever_Naples_virus_segment_L,_complete_sequence_|NC_078077.1|
Sandfly_fever_Naples_virus_segment_M,_complete_sequence_|NC_078078.1|
Sandfly_fever_Naples_virus_segment_S,_complete_sequence_|NC_078079.1|
Pena_Blanca_virus_strain_SP1683-PA-2014_segment_S,_complete_sequence_|NC_078080.1|Psychodopygus_panamensis
Pena_Blanca_virus_strain_SP1683-PA-2014_segment_M,_complete_sequence_|NC_078081.1|Psychodopygus_panamensis
Pena_Blanca_virus_strain_SP1683-PA-2014_segment_L,_complete_sequence_|NC_078082.1|Psychodopygus_panamensis
Tico_virus_strain_SP0157-PA-2013_segment_M,_complete_sequence_|NC_078083.1|Lutzomyia
Tico_virus_strain_SP0157-PA-2013_segment_S,_complete_sequence_|NC_078084.1|Lutzomyia
Tico_virus_strain_SP0157-PA-2013_segment_L,_complete_sequence_|NC_078085.1|Lutzomyia
